Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	aspirin_1 Total Spectral Count	aspirin_1 Unique Spectral Count	aspirin_1 Razor Spectral Count	aspirin_1 Total Ion Count	aspirin_1 Unique Ion Count	aspirin_1 Razor Ion Count	aspirin_1 Total Intensity	aspirin_1 Unique Intensity	aspirin_1 Razor Intensity	aspirin_2 Total Spectral Count	aspirin_2 Unique Spectral Count	aspirin_2 Razor Spectral Count	aspirin_2 Total Ion Count	aspirin_2 Unique Ion Count	aspirin_2 Razor Ion Count	aspirin_2 Total Intensity	aspirin_2 Unique Intensity	aspirin_2 Razor Intensity	aspirin_3 Total Spectral Count	aspirin_3 Unique Spectral Count	aspirin_3 Razor Spectral Count	aspirin_3 Total Ion Count	aspirin_3 Unique Ion Count	aspirin_3 Razor Ion Count	aspirin_3 Total Intensity	aspirin_3 Unique Intensity	aspirin_3 Razor Intensity	control_1 Total Spectral Count	control_1 Unique Spectral Count	control_1 Razor Spectral Count	control_1 Total Ion Count	control_1 Unique Ion Count	control_1 Razor Ion Count	control_1 Total Intensity	control_1 Unique Intensity	control_1 Razor Intensity	control_2 Total Spectral Count	control_2 Unique Spectral Count	control_2 Razor Spectral Count	control_2 Total Ion Count	control_2 Unique Ion Count	control_2 Razor Ion Count	control_2 Total Intensity	control_2 Unique Intensity	control_2 Razor Intensity	control_3 Total Spectral Count	control_3 Unique Spectral Count	control_3 Razor Spectral Count	control_3 Total Ion Count	control_3 Unique Ion Count	control_3 Razor Ion Count	control_3 Total Intensity	control_3 Unique Intensity	control_3 Razor Intensity	Indistinguishable Proteins
12	a	sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	29.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0000	0.9990	4	8	8	8	3	3	3	3	3	3	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
13	a	sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	7.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0600 protein C5orf51	1.0000	0.9990	3	11	11	11	2	2	2	2	2	2	1.06566616E8	1.06566616E8	1.06566616E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	7	7	7	4	4	4	5.61037E7	5.61037E7	5.61037E7	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	1.23231168E8	1.23231168E8	1.23231168E8	
14	a	sp|A6NFN3|RFOX3_HUMAN	A6NFN3	RFOX3_HUMAN	RBFOX3	312	3.20	Homo sapiens OX=9606	2:Experimental evidence at transcript level	RNA binding protein fox-1 homolog 3	1.0000	0.9990	1	6	6	6	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	0	2	6.918804E7	0.0	6.918804E7	1	1	1	2	0	2	7.4365128E7	0.0	7.4365128E7	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	2	0	2	9.548056E7	0.0	9.548056E7	1	1	1	0	0	0	0.0	0.0	0.0	sp|O43251|RFOX2_HUMAN, sp|Q9NWB1|RFOX1_HUMAN
15	a	sp|A6NGR9|MROH6_HUMAN	A6NGR9	MROH6_HUMAN	MROH6	719	4.70	Homo sapiens OX=9606	4:Protein predicted	Maestro heat-like repeat-containing protein family member 6	1.0000	0.9990	2	4	4	4	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	3	3	3	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
16	a	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	8.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9990	15	55	55	55	11	11	11	9	9	9	1.52490656E8	1.52490656E8	1.52490656E8	8	8	8	6	6	6	1.68033456E8	1.68033456E8	1.68033456E8	8	8	8	8	8	8	1.16443792E8	1.16443792E8	1.16443792E8	16	16	16	13	13	13	1.33340744E8	1.33340744E8	1.33340744E8	4	4	4	5	5	5	1.00941152E8	1.00941152E8	1.00941152E8	8	8	8	4	4	4	1.34148424E8	1.34148424E8	1.34148424E8	
17	a	sp|A8MT19|RHN2P_HUMAN	A8MT19	RHN2P_HUMAN	RHPN2P1	583	2.20	Homo sapiens OX=9606	5:Protein uncertain	Putative rhophilin-2-like protein RHPN2P1	1.0000	0.9990	2	4	4	4	2	2	2	2	0	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	0	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	sp|Q8IUC4|RHPN2_HUMAN
18	a	sp|A8MV81|HIG1C_HUMAN	A8MV81	HIG1C_HUMAN	HIGD1C	97	9.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	HIG1 domain family member 1C	1.0000	0.9990	1	23	23	23	1	1	1	0	0	0	0.0	0.0	0.0	4	4	4	2	0	2	1.57246816E8	0.0	1.57246816E8	4	4	4	2	0	2	1.34761088E8	0.0	1.34761088E8	6	6	6	2	0	2	4.56292064E8	0.0	4.56292064E8	3	3	3	2	0	2	7.4206216E7	0.0	7.4206216E7	5	5	5	2	0	2	1.7145192E8	0.0	1.7145192E8	sp|Q9Y241|HIG1A_HUMAN
19	a	sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	22.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoside diphosphate-linked moiety X motif 19	1.0000	0.9990	4	11	11	11	2	2	2	2	2	2	4.5806104E7	4.5806104E7	4.5806104E7	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	2	2	2	2.8795796E7	2.8795796E7	2.8795796E7	7	7	7	4	4	4	8.1956944E7	8.1956944E7	8.1956944E7	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
20	a	sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	25.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0000	0.9990	25	123	123	123	21	21	21	21	0	21	3.97638144E8	0.0	3.97638144E8	27	27	27	12	0	12	5.6600538E8	0.0	5.6600538E8	12	12	12	12	0	12	4.81959328E8	0.0	4.81959328E8	15	15	15	11	0	11	4.8741056E8	0.0	4.8741056E8	35	35	35	21	0	21	5.7471776E8	0.0	5.7471776E8	13	13	13	9	0	9	6.8964768E8	0.0	6.8964768E8	sp|Q99613|EIF3C_HUMAN
21	a	sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	22.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0000	0.9990	2	6	6	6	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
22	a	sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	36.60	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1.0000	0.9990	6	19	19	19	5	5	5	4	4	4	6.871024E7	6.871024E7	6.871024E7	3	3	3	3	3	3	8.4735512E7	8.4735512E7	8.4735512E7	3	3	3	4	4	4	8.0804616E7	8.0804616E7	8.0804616E7	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	3	3	3	1.28106392E8	1.28106392E8	1.28106392E8	4	4	4	2	2	2	9.6145136E7	9.6145136E7	9.6145136E7	
23	a	sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	18.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIEF1 upstream open reading frame protein	1.0000	0.9990	1	3	3	3	3	3	3	3	3	3	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
24	a	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	26.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0000	0.9990	12	50	50	50	6	6	6	6	6	6	0.0	0.0	0.0	8	8	8	6	6	6	7.7720728E7	7.7720728E7	7.7720728E7	5	5	5	5	5	5	1.04243992E8	1.04243992E8	1.04243992E8	19	19	19	6	6	6	2.75461056E8	2.75461056E8	2.75461056E8	8	8	8	5	5	5	1.77083584E8	1.77083584E8	1.77083584E8	4	4	4	4	4	4	9.0069384E7	9.0069384E7	9.0069384E7	
25	a	sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	62.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0000	0.9990	31	235	70	70	58	23	23	31	12	12	4.642304E9	4.35067424E8	4.35067424E8	33	9	9	20	8	8	3.25082931E9	3.40015136E8	3.40015136E8	39	11	11	19	10	10	3.02230784E9	3.58818048E8	3.58818048E8	36	11	11	17	9	9	3.25488691E9	3.1012624E8	3.1012624E8	32	9	9	18	7	7	2.27895962E9	4.34538816E8	4.34538816E8	37	7	7	18	8	8	2.46386944E9	2.78237216E8	2.78237216E8	
26	a	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0000	0.9990	8	13	13	13	8	8	8	7	7	7	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
27	a	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	41.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0000	0.9990	14	92	87	92	28	28	28	11	11	11	1.32402662E9	1.32402662E9	1.32402662E9	14	13	14	10	9	10	7.1666784E8	7.3594342E8	7.1666784E8	10	8	10	8	6	8	4.29605152E8	4.2140224E8	4.29605152E8	12	11	12	9	8	9	7.0886496E8	7.2336378E8	7.0886496E8	14	14	14	9	9	9	5.4155776E8	5.4155776E8	5.4155776E8	14	13	14	8	7	8	5.35275904E8	5.20751552E8	5.35275904E8	
28	a	sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	29.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0000	0.9990	35	127	127	127	36	36	36	26	26	26	1.55861152E8	1.55861152E8	1.55861152E8	13	13	13	9	9	9	6.450384E8	6.450384E8	6.450384E8	19	19	19	11	11	11	5.7613139E8	5.7613139E8	5.7613139E8	28	28	28	18	18	18	5.28171296E8	5.28171296E8	5.28171296E8	18	18	18	13	13	13	4.4105968E8	4.4105968E8	4.4105968E8	13	13	13	8	8	8	5.422233E8	5.422233E8	5.422233E8	
29	a	sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	14.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0000	0.9990	2	2	2	2	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
30	a	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	37.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0000	0.9990	10	40	40	40	12	12	12	9	9	9	7.880672E7	7.880672E7	7.880672E7	3	3	3	3	3	3	2.87842496E8	2.87842496E8	2.87842496E8	6	6	6	3	3	3	2.39642176E8	2.39642176E8	2.39642176E8	6	6	6	5	5	5	2.3419984E8	2.3419984E8	2.3419984E8	5	5	5	4	4	4	3.7256608E8	3.7256608E8	3.7256608E8	8	8	8	6	6	6	2.65827312E8	2.65827312E8	2.65827312E8	
31	a	sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	6.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1.0000	0.9990	2	2	2	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
32	a	sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	37.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0000	0.9990	7	53	53	53	10	10	10	8	8	8	2.05950128E8	2.05950128E8	2.05950128E8	11	11	11	4	4	4	1.13221888E9	1.13221888E9	1.13221888E9	9	9	9	3	3	3	1.71012557E9	1.71012557E9	1.71012557E9	7	7	7	4	4	4	8.8027238E8	8.8027238E8	8.8027238E8	9	9	9	5	5	5	8.8117997E8	8.8117997E8	8.8117997E8	7	7	7	3	3	3	1.13792026E9	1.13792026E9	1.13792026E9	
33	a	sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	57.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0000	0.9990	21	126	126	126	12	12	12	10	10	10	8.3121786E8	8.3121786E8	8.3121786E8	26	26	26	15	15	15	1.36087091E9	1.36087091E9	1.36087091E9	24	24	24	15	15	15	1.25067456E9	1.25067456E9	1.25067456E9	20	20	20	14	14	14	1.13252518E9	1.13252518E9	1.13252518E9	23	23	23	15	15	15	1.32667584E9	1.32667584E9	1.32667584E9	21	21	21	11	11	11	1.08763379E9	1.08763379E9	1.08763379E9	
34	a	sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	29.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0000	0.9990	13	53	53	53	12	12	12	10	10	10	5.10568192E8	5.10568192E8	5.10568192E8	8	8	8	6	6	6	1.47201696E8	1.47201696E8	1.47201696E8	8	8	8	6	6	6	1.79465376E8	1.79465376E8	1.79465376E8	12	12	12	8	8	8	1.74945152E8	1.74945152E8	1.74945152E8	7	7	7	5	5	5	1.48092624E8	1.48092624E8	1.48092624E8	6	6	6	4	4	4	1.69598496E8	1.69598496E8	1.69598496E8	
35	a	sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	36.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0000	0.9990	4	7	7	7	3	3	3	2	2	2	0.0	0.0	0.0	2	2	2	2	2	2	9.5204272E7	9.5204272E7	9.5204272E7	1	1	1	2	2	2	1.08478592E8	1.08478592E8	1.08478592E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	2	2	2	9.7076568E7	9.7076568E7	9.7076568E7	
36	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	13.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0000	0.9990	11	30	30	30	7	7	7	7	7	7	9.3720448E7	9.3720448E7	9.3720448E7	3	3	3	6	6	6	1.86240768E8	1.86240768E8	1.86240768E8	6	6	6	7	7	7	1.81814736E8	1.81814736E8	1.81814736E8	4	4	4	5	5	5	1.78977184E8	1.78977184E8	1.78977184E8	6	6	6	7	7	7	2.4541168E8	2.4541168E8	2.4541168E8	4	4	4	5	5	5	1.85906176E8	1.85906176E8	1.85906176E8	
37	a	sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	13.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	1.0000	0.9990	3	11	11	11	3	3	3	3	3	3	3.526452E7	3.526452E7	3.526452E7	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	6.3960932E7	6.3960932E7	6.3960932E7	2	2	2	2	2	2	5.5078716E7	5.5078716E7	5.5078716E7	2	2	2	2	2	2	7.2691632E7	7.2691632E7	7.2691632E7	1	1	1	0	0	0	0.0	0.0	0.0	
38	a	sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	7.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1	1.0000	0.9990	4	4	4	4	2	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
39	a	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	90.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0000	0.9990	23	305	299	305	40	39	40	25	24	25	2.8774167E9	3.64137395E9	2.8774167E9	50	49	50	16	15	16	3.08429158E9	2.9812183E9	3.08429158E9	68	67	68	16	15	16	2.82817229E9	2.61274291E9	2.82817229E9	77	76	77	14	13	14	2.48083686E9	2.5466112E9	2.48083686E9	34	33	34	16	15	16	3.0950377E9	2.87129395E9	3.0950377E9	36	35	36	16	15	16	2.60136192E9	2.41731302E9	2.60136192E9	
40	a	sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	48.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0000	0.9990	17	99	99	99	21	21	21	15	15	15	1.21553869E9	1.21553869E9	1.21553869E9	15	15	15	8	8	8	6.0767629E8	6.0767629E8	6.0767629E8	15	15	15	7	7	7	4.82903296E8	4.82903296E8	4.82903296E8	14	14	14	8	8	8	3.6035696E8	3.6035696E8	3.6035696E8	19	19	19	12	12	12	3.292088E8	3.292088E8	3.292088E8	15	15	15	10	10	10	4.06904992E8	4.06904992E8	4.06904992E8	
41	a	sp|O00308|WWP2_HUMAN	O00308	WWP2_HUMAN	WWP2	870	4.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	NEDD4-like E3 ubiquitin-protein ligase WWP2	1.0000	0.9988	4	6	4	4	2	2	2	2	2	2	0.0	0.0	0.0	1	0	0	0	0	0	0.0	0.0	0.0	1	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
